Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2022-06-26,1,18,µg/mc
"Parco S. Chiara",PM10,2022-06-26,2,17,µg/mc
"Parco S. Chiara",PM10,2022-06-26,3,17,µg/mc
"Parco S. Chiara",PM10,2022-06-26,4,16,µg/mc
"Parco S. Chiara",PM10,2022-06-26,5,17,µg/mc
"Parco S. Chiara",PM10,2022-06-26,6,16,µg/mc
"Parco S. Chiara",PM10,2022-06-26,7,15,µg/mc
"Parco S. Chiara",PM10,2022-06-26,8,13,µg/mc
"Parco S. Chiara",PM10,2022-06-26,9,12,µg/mc
"Parco S. Chiara",PM10,2022-06-26,10,12,µg/mc
"Parco S. Chiara",PM10,2022-06-26,11,11,µg/mc
"Parco S. Chiara",PM10,2022-06-26,12,10,µg/mc
"Parco S. Chiara",PM10,2022-06-26,13,8,µg/mc
"Parco S. Chiara",PM10,2022-06-26,14,10,µg/mc
"Parco S. Chiara",PM10,2022-06-26,15,13,µg/mc
"Parco S. Chiara",PM10,2022-06-26,16,13,µg/mc
"Parco S. Chiara",PM10,2022-06-26,17,13,µg/mc
"Parco S. Chiara",PM10,2022-06-26,18,16,µg/mc
"Parco S. Chiara",PM10,2022-06-26,19,23,µg/mc
"Parco S. Chiara",PM10,2022-06-26,20,29,µg/mc
"Parco S. Chiara",PM10,2022-06-26,21,34,µg/mc
"Parco S. Chiara",PM10,2022-06-26,22,34,µg/mc
"Parco S. Chiara",PM10,2022-06-26,23,34,µg/mc
"Parco S. Chiara",PM10,2022-06-26,24,34,µg/mc
"Parco S. Chiara",PM10,2022-06-27,1,35,µg/mc
"Parco S. Chiara",PM10,2022-06-27,2,34,µg/mc
"Parco S. Chiara",PM10,2022-06-27,3,33,µg/mc
"Parco S. Chiara",PM10,2022-06-27,4,32,µg/mc
"Parco S. Chiara",PM10,2022-06-27,5,32,µg/mc
"Parco S. Chiara",PM10,2022-06-27,6,31,µg/mc
"Parco S. Chiara",PM10,2022-06-27,7,30,µg/mc
"Parco S. Chiara",PM10,2022-06-27,8,28,µg/mc
